Name,Description,Type,,,,
&,Start a new process in the background,,,,,
alias,Create an alias •,shell built in,,,,
apropos,Search Help manual pages (man -k),/usr/bin/apropos,,,user@,NORMAL
apt-get,Search for and install software packages (Debian/Ubuntu),/usr/bin/apt-get,,,ROOT#,SUPERUSER
aptitude,Search for and install software packages (Debian/Ubuntu),/usr/bin/aptitude,,,/bin/bzip2,EXTERNAL
aspell,Spell Checker,,,,in yellow,most used?
awk,"Find and Replace text, database sort/validate/index",/usr/bin/awk,,,,
basename,Strip directory and suffix from filenames,/usr/bin/basename,,,,
base32,Base32 encode/decode data and print to standard output,/usr/bin/base32,,,,
base64,Base64 encode/decode data and print to standard output,/usr/bin/base64,,,,
bash,GNU Bourne-Again SHell,/bin/bash,,,,
bc,Arbitrary precision calculator language, /usr/bin/bc,,,,
bg,Send to background,shell builtin,,,,
bind,Set or display readline key and function bindings •,shell builtin,,,,
break,Exit from a loop •,shell builtin,,,,
builtin,Run a shell builtin,shell builtin,,,,
bzip2,Compress or decompress named file(s),/bin/bzip2,,,,
cal,Display a calendar, /usr/bin/cal,,,,
case,Conditionally perform a command, shell keyword,,,,
cat,Concatenate and print (display) the content of files,/bin/cat,,,,
cd,Change Directory,shell builtin,,,,
cfdisk,Partition table manipulator for Linux,,,,,
chattr,Change file attributes on a Linux file system,/usr/bin/chattr,,,,
chgrp,Change group ownership,/bin/chgrp,,,,
chmod,Change access permissions,/bin/chmod,,,,
chown,Change file owner and group,/bin/chown,,,,
chpasswd,Update passwords in batch mode,,,,,
chroot,Run a command with a different root directory,,,,,
chkconfig,System services (runlevel),,,,,
cksum,Print CRC checksum and byte counts,/usr/bin/cksum,,,,
clear,Clear terminal screen,/usr/bin/clear,,,,
cmp,Compare two files,/usr/bin/cmp,,,,
comm,Compare two sorted files line by line,/usr/bin/comm,,,,
command,Run a command - ignoring shell functions •,shell builtin,,,,
continue,Resume the next iteration of a loop •,shell builtin,,,,
cp,Copy one or more files to another location,/bin/cp,,,,
cpio,Copy files to and from archives,/bin/cpio,,,,
cron,Daemon to execute scheduled commands,,,,,
crontab,Schedule a command to run at a later time,/usr/bin/crontab,,,,
csplit,Split a file into context-determined pieces,/usr/bin/csplit,,,,
curl,Transfer data from or to a server,,,,,
cut,Divide a file into several parts,/usr/bin/cut,,,,
date,Display or change the date & time,/bin/date,,,,
dc,Desk Calculator,/usr/bin/dc,,,,
dd,"Data Duplicator - convert and copy a file, write disk headers, boot records",/bin/dd,,,,
ddrescue,Data recovery tool,,,,,
declare,Declare variables and give them attributes •,shell builtin,,,,
df,Display free disk space,/bin/df,,,,
diff,Display the differences between two files,/usr/bin/diff,,,,
diff3,Show differences among three files,/usr/bin/diff3,,,,
dig,DNS lookup,/usr/bin/dig,,,,
dir,Briefly list directory contents,/bin/dir,,,,
dircolors,Colour setup for 'ls',/usr/bin/dircolors,,,,
dirname,Convert a full pathname to just a path,/usr/bin/dirname,,,,
dirs,Display list of remembered directories,shell builtin,,,,
dmesg,Print kernel & driver messages,/bin/dmesg,,,,
dpkg,Package manager (Debian/Ubuntu).,/usr/bin/dpkg,,,,
du,Estimate file space usage,/usr/bin/du,,,,
echo,Display message on screen •,shell builtin,,,,
egrep,Search file(s) for lines that match an extended expression,/bin/egrep,,,,
eject,Eject removable media,/usr/bin/eject,,,,
enable,Enable and disable builtin shell commands •,,,,,
env,Environment variables,/usr/bin/env,,,,
ethtool,Ethernet card settings,,,,,
eval,Evaluate several commands/arguments,shell builtin,,,,
exec,Execute a command,shell builtin,,,,
exit,Exit the shell,shell builtin,,,,
expect,Automate arbitrary applications accessed over a terminal,,,,,
expand,Convert tabs to spaces,/usr/bin/expand,,,,
export,Set an environment variable,shell builtin,,,,
expr,Evaluate expressions,/usr/bin/expr,,,,
-false,"Do nothing, unsuccessfully",shell builtin,,,,
fdformat,Low-level format a floppy disk,,,,,
fdisk,Partition table manipulator for Linux,,,,,
fg,Send job to foreground,shell builtin,,,,
fgrep,Search file(s) for lines that match a fixed string,/bin/fgrep,,,,
file,Determine file type,/usr/bin/file,,,,
find,Search for files that meet a desired criteria,/usr/bin/find,,,,
fmt,Reformat paragraph text,/usr/bin/fmt,,,,
fold,Wrap text to fit a specified width,/usr/bin/fold,,,,
for,"Expand words, and execute commands",shell keyword,,,,
format,Format disks or tapes,,,,,
free,Display memory usage,/usr/bin/free,,,,
fsck,File system consistency check and repair,,,,,
ftp,File Transfer Protocol,/usr/bin/ftp,,,,
function,Define Function Macros,shell keyword,,,,
fuser,Identify/kill the process that is accessing a file,/bin/fuser,,,,
gawk,Find and Replace text within file(s),/usr/bin/gawk,,,,
getopts,Parse positional parameters,shell builtin,,,,
grep,Search file(s) for lines that match a given pattern,/bin/grep,,,,
